CODE,DATE,DAY,MONTH,YEAR,VALUE
BM12_IPCAEXP1212,2020-09-01T00:00:00-03:00,1,9,2020,3.37
BM12_IPCAEXP1212,2020-10-01T00:00:00-03:00,1,10,2020,3.92
BM12_IPCAEXP1212,2020-11-01T00:00:00-03:00,1,11,2020,4.11
BM12_IPCAEXP1212,2020-12-01T00:00:00-03:00,1,12,2020,4.1
BM12_IPCAEXP1212,2021-01-01T00:00:00-03:00,1,1,2021,3.57
BM12_IPCAEXP1212,2021-02-01T00:00:00-03:00,1,2,2021,3.99
BM12_IPCAEXP1212,2021-03-01T00:00:00-03:00,1,3,2021,4.5
BM12_IPCAEXP1212,2021-04-01T00:00:00-03:00,1,4,2021,4.1
BM12_IPCAEXP1212,2021-05-01T00:00:00-03:00,1,5,2021,4.45
BM12_IPCAEXP1212,2021-06-01T00:00:00-03:00,1,6,2021,4.4733
BM12_IPCAEXP1212,2021-07-01T00:00:00-03:00,1,7,2021,4.8871
BM12_IPCAEXP1212,2021-08-01T00:00:00-03:00,1,8,2021,4.8249
BM12_IPCAEXP1212,2021-09-01T00:00:00-03:00,1,9,2021,5.3499
BM12_IPCAEXP1212,2021-10-01T00:00:00-03:00,1,10,2021,5.5051
BM12_IPCAEXP1212,2021-11-01T00:00:00-03:00,1,11,2021,5.8906
BM12_IPCAEXP1212,2021-12-01T00:00:00-03:00,1,12,2021,5.2325
BM12_IPCAEXP1212,2022-01-01T00:00:00-03:00,1,1,2022,5.3981
BM12_IPCAEXP1212,2022-02-01T00:00:00-03:00,1,2,2022,5.4581
BM12_IPCAEXP1212,2022-03-01T00:00:00-03:00,1,3,2022,6.2688
BM12_IPCAEXP1212,2022-04-01T00:00:00-03:00,1,4,2022,6.0072
BM12_IPCAEXP1212,2022-05-01T00:00:00-03:00,1,5,2022,6.1912
BM12_IPCAEXP1212,2022-06-01T00:00:00-03:00,1,6,2022,5.7558
BM12_IPCAEXP1212,2022-07-01T00:00:00-03:00,1,7,2022,4.7558
BM12_IPCAEXP1212,2022-08-01T00:00:00-03:00,1,8,2022,5.1833
BM12_IPCAEXP1212,2022-09-01T00:00:00-03:00,1,9,2022,4.7351
BM12_IPCAEXP1212,2022-10-01T00:00:00-03:00,1,10,2022,5.1444
BM12_IPCAEXP1212,2022-11-01T00:00:00-03:00,1,11,2022,5.3729
BM12_IPCAEXP1212,2022-12-01T00:00:00-03:00,1,12,2022,5.2599
BM12_IPCAEXP1212,2023-01-01T00:00:00-03:00,1,1,2023,5.7109
BM12_IPCAEXP1212,2023-02-01T00:00:00-03:00,1,2,2023,5.7651
BM12_IPCAEXP1212,2023-03-01T00:00:00-03:00,1,3,2023,5.5544
BM12_IPCAEXP1212,2023-04-01T00:00:00-03:00,1,4,2023,5.2804
BM12_IPCAEXP1212,2023-05-01T00:00:00-03:00,1,5,2023,4.6909
BM12_IPCAEXP1212,2023-06-01T00:00:00-03:00,1,6,2023,3.9949
BM12_IPCAEXP1212,2023-07-01T00:00:00-03:00,1,7,2023,4.0869
BM12_IPCAEXP1212,2023-08-01T00:00:00-03:00,1,8,2023,4.2247
BM12_IPCAEXP1212,2023-09-01T00:00:00-03:00,1,9,2023,4.1119
BM12_IPCAEXP1212,2023-10-01T00:00:00-03:00,1,10,2023,3.915
BM12_IPCAEXP1212,2023-11-01T00:00:00-03:00,1,11,2023,3.9179
BM12_IPCAEXP1212,2023-12-01T00:00:00-03:00,1,12,2023,3.8149
BM12_IPCAEXP1212,2024-01-01T00:00:00-03:00,1,1,2024,3.8001
BM12_IPCAEXP1212,2024-02-01T00:00:00-03:00,1,2,2024,3.7495
BM12_IPCAEXP1212,2024-03-01T00:00:00-03:00,1,3,2024,3.3879
BM12_IPCAEXP1212,2024-04-01T00:00:00-03:00,1,4,2024,3.5781
BM12_IPCAEXP1212,2024-05-01T00:00:00-03:00,1,5,2024,3.7134
BM12_IPCAEXP1212,2024-06-01T00:00:00-03:00,1,6,2024,3.6974
BM12_IPCAEXP1212,2024-07-01T00:00:00-03:00,1,7,2024,3.8436
BM12_IPCAEXP1212,2024-08-01T00:00:00-03:00,1,8,2024,3.7864
BM12_IPCAEXP1212,2024-09-01T00:00:00-03:00,1,9,2024,4.1325
BM12_IPCAEXP1212,2024-10-01T00:00:00-03:00,1,10,2024,4.1934
BM12_IPCAEXP1212,2024-11-01T00:00:00-03:00,1,11,2024,4.4513
BM12_IPCAEXP1212,2024-12-01T00:00:00-03:00,1,12,2024,4.9854
BM12_IPCAEXP1212,2025-01-01T00:00:00-03:00,1,1,2025,5.4693
BM12_IPCAEXP1212,2025-02-01T00:00:00-03:00,1,2,2025,5.8933
BM12_IPCAEXP1212,2025-03-01T00:00:00-03:00,1,3,2025,5.2021
BM12_IPCAEXP1212,2025-04-01T00:00:00-03:00,1,4,2025,4.9525
BM12_IPCAEXP1212,2025-05-01T00:00:00-03:00,1,5,2025,4.8632
BM12_IPCAEXP1212,2025-06-01T00:00:00-03:00,1,6,2025,4.623
BM12_IPCAEXP1212,2025-07-01T00:00:00-03:00,1,7,2025,4.5167
BM12_IPCAEXP1212,2025-08-01T00:00:00-03:00,1,8,2025,4.1956
BM12_IPCAEXP1212,2025-09-01T00:00:00-03:00,1,9,2025,4.4689
